VIC,197,Aston,4273,Boronia East (Aston),28116,RAYMOND,Steve,1,N,N,GRN,The Greens,136,4.98
VIC,197,Aston,4273,Boronia East (Aston),28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,49,2.88
VIC,197,Aston,4273,Boronia East (Aston),28212,HUPPERT,Daniel,3,N,N,IND,Independent,16,1.77
VIC,197,Aston,4273,Boronia East (Aston),28748,MOORE,Joel,4,N,N,LDP,Liberal Democrats,24,2.65
VIC,197,Aston,4273,Boronia East (Aston),28205,LAVIN,Rosemary,5,N,N,AJP,Animal Justice Party,33,3.65
VIC,197,Aston,4273,Boronia East (Aston),28875,TUDGE,Alan,6,Y,Y,LP,Liberal,341,-1.55
VIC,197,Aston,4273,Boronia East (Aston),28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,306,-5.22
VIC,197,Aston,4273,Boronia East (Aston),999,Informal,Informal,999,N,N,,Informal,51,0
VIC,197,Aston,4274,Boronia North,28116,RAYMOND,Steve,1,N,N,GRN,The Greens,200,4.16
VIC,197,Aston,4274,Boronia North,28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,52,-0.49
VIC,197,Aston,4274,Boronia North,28212,HUPPERT,Daniel,3,N,N,IND,Independent,39,2.37
VIC,197,Aston,4274,Boronia North,28748,MOORE,Joel,4,N,N,LDP,Liberal Democrats,26,1.58
VIC,197,Aston,4274,Boronia North,28205,LAVIN,Rosemary,5,N,N,AJP,Animal Justice Party,75,4.56
VIC,197,Aston,4274,Boronia North,28875,TUDGE,Alan,6,Y,Y,LP,Liberal,706,-0.88
VIC,197,Aston,4274,Boronia North,28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,548,-1.54
VIC,197,Aston,4274,Boronia North,999,Informal,Informal,999,N,N,,Informal,85,-0.41
VIC,197,Aston,30188,Divisional Office (PREPOLL),28116,RAYMOND,Steve,1,N,N,GRN,The Greens,13,7.97
VIC,197,Aston,30188,Divisional Office (PREPOLL),28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,9,6.56
VIC,197,Aston,30188,Divisional Office (PREPOLL),28212,HUPPERT,Daniel,3,N,N,IND,Independent,1,0.83
VIC,197,Aston,30188,Divisional Office (PREPOLL),28748,MOORE,Joel,4,N,N,LDP,Liberal Democrats,3,2.5
VIC,197,Aston,30188,Divisional Office (PREPOLL),28205,LAVIN,Rosemary,5,N,N,AJP,Animal Justice Party,5,4.17
VIC,197,Aston,30188,Divisional Office (PREPOLL),28875,TUDGE,Alan,6,Y,Y,LP,Liberal,68,-5.26
